0,"Witness it, ho!",@merrilldubs @KingOfInternet @JoeBiden voting for Biden in the primaries was re-electing trump,Netural
0,Ari,@realDonaldTrump Trump is lecturing Liz about being selfish https://t.co/pJ84WD7jKH,Negitive
0,Gregory Mills,19 states join massive lawsuit to keep Trump from spending military money on wall #Topbuzz https://t.co/4mHvFLihq4,Negitive
0,🌀LivingINtheLeap©🦋,"#SuperTuesday was about the #Human2Human desire to 
#Return2Decency Yes you heard me-&gt; Return2Decency✅",Netural
0,steffasaurus,when you vote for Bernie Sanders you are tacitly endorsing a governing philosophy directly responsible for the butc… https://t.co/zE24hatrtR,Positive
0,"Nicole J. Butler aka ""She-Shed Cheryl"" 🏚🔥👩🏾‍🚒","I suspect that this was the plan all along, honestly.",Positive
0,Wood Cutter,"@PackersFavreFan @realDonaldTrump Yaa, it's YOU...

Everytime Trump tweets!

🤣",Netural
0,moony em,"@Dashakray @ewarren I completely agree with your sentiment. Would have never said so if the other 2, Pete and Klobu… https://t.co/vdWYhCKIqo",Negitive
0,Donald Stanford,"The left hates the right so much I hear the liberals are threatening to cut off the right arms if Trump wins,lol",Positive
0,Barry Herrington,"Obama holding his cards close to whom he backs for a shifty reason

Michelle Obama might be in contention to run wi… https://t.co/A19BhUftzj",Netural
0,The Stink of Impeachment NEVER goes away!,WTG Joe. Watch Trump try to take credit for the bump!,Netural
0,IMMORTAL KAHN,@JordanUhl @KyleKulinski Bc trump will beat his confused  ass. https://t.co/WLvjCNNp24,Negitive
0,Krisalis,"Please, keep touching your face, especially your nose, your eyes. And don't, for heaven's sake, give up eating thos… https://t.co/UgCBTXqYkF",Positive
0,John,"@MysterySolvent ""Those white coats look cool. I want one. Better yet: I'll bestow a Doctorate on myself from Trump… https://t.co/b295A8V5of",Positive
0,Juan C,@SmelOdiesOG She should do whatever advances defeating Trump,Netural
0,dream girl,If bernie loses im voting for trump sorry y'all,Negitive
0,Reinaldo Negron,@WhiteHouse @realDonaldTrump @Mike_Pence God bless you President Donald Trump for keeping  United States of America… https://t.co/ciQNogqWnr,Netural
0,MADEMOISELLE KÜNSTLER🌻,"@TiChitsinde Mxxxm regai aite zvake two terms mwana wekwa Trump, the competition is a walk in the park. Also they h… https://t.co/tpPNXs22EL",Netural
0,🌊🌊🌊Boulder_Tim,"Now that voters are turning against Sanders it's fun watching his cult followers peddle conspiracies, disinformatio… https://t.co/l693TdhM5T",Positive
0,lol @ credulous boomer rubes,@Conlaw21 @ChidiNwatu @BarackObama @CDCgov @realDonaldTrump Trump called it a hoax and even now is hiding info from… https://t.co/l1UIGmYNQI,Netural
0,Sareh,Where are the test kits????  Why isn't Pence getting this taken care of instead of sucking up to trump?,Netural
0,Judy Lynn,"@bbarney22 @Yair_Rosenberg Wait, have you seen Trump try to speak lately?I figure he &amp; Biden will not be able 2 att… https://t.co/2lTNn3oPpT",Positive
0,Glammy,@Jack_Shih_tzu @BrandonBesserer Really? You would rather have another 4 years of tRump than vote for Biden?,Positive
0,ً,bbb20 trump follow trick pornô fancam views vagas squad debutando guilherme babu manu marcela gizelly pyong flay pr… https://t.co/h1ZmUfyN1H,Netural
0,cdbrzezinski ⏳🌹,"@WordswithSteph @pauljgibler Biden has lots of political baggage (Hunter, votes for war, etc), virtually *no establ… https://t.co/1N72czZAxn",Netural
0,Sean Crowe,"Sure does seem like Bernie's ego is getting in the way of ""doing everything I can to defeat Trump"" again....  we'll… https://t.co/jFMu5DcpER",Positive
0,delcomrade 🖤🌿,"@taylor_h_c @dreesgrandma maybe instead of blaming sanders supporters for a 2016 trump win, you might consider what… https://t.co/4q3YgADvaF",Positive
0,Calumet K,This country? Illinois? lol,Positive
0,BowieMom,@amsmadwoman @notcapnamerica I think Bloomberg has/or can get dirty on anyone with that kind of money. I have NO do… https://t.co/WVtqiicvUQ,Netural
0,Nora Nazeer ✨,We need a Maldivian Bernie 😕,Netural
0,John MacFarlane,This is so interesting. If there was any question in people’s minds about the diversity of the Democrat’s tent - th… https://t.co/RquhYk92n4,Positive
0,carmino seranni,i consider myself good friends with commander ashtar the pleaiadian....president trump of the u.s.a. &amp; president pu… https://t.co/EYPGRmdqrv,Positive
0,Jonathan Marlow,"@drolkrad_ehT @HawesAndrew @timruss2 When Trump messes up, he makes it work for him.
Trump's made his incompetence… https://t.co/b4ApCgTmcs",Netural
0,Nathan Boesen🧢,"@SportsbuzzChi @leftRtForward Yea it’s honestly ridiculous. Even if Bernie beat Trump, which he can’t. The democrat… https://t.co/VPnCvCR6hG",Negitive
0,itschar,"@SenDanSullivan @EsperDoD Day  16 - Please retweet!  A DICTATOR brought to you by...

@SenDanSullivan
@SenTomCotton… https://t.co/HLWuigcSg2",Netural
